timestamp,frame_no,track_id,yolo_class,conf,warp_cx,warp_cy,frame_cx,frame_cy,zone,warning
2026-07-13 23:57:24.075,113,7,toothbrush,0.756,333,253,419,407,SAFE,0
2026-07-13 23:57:24.859,118,7,toothbrush,0.742,334,254,420,408,SAFE,0
2026-07-13 23:57:25.574,123,7,toothbrush,0.698,334,253,420,407,SAFE,0
2026-07-13 23:57:26.128,128,7,toothbrush,0.807,334,253,420,407,SAFE,0
2026-07-13 23:57:26.766,133,7,toothbrush,0.730,334,252,420,406,SAFE,0
2026-07-13 23:57:27.378,138,7,toothbrush,0.702,334,253,420,407,SAFE,0
2026-07-13 23:57:27.958,143,7,toothbrush,0.824,334,252,420,406,SAFE,0
2026-07-13 23:57:28.587,148,7,toothbrush,0.684,334,254,420,408,SAFE,0
2026-07-13 23:57:29.205,153,7,toothbrush,0.764,334,253,420,407,SAFE,0
2026-07-13 23:57:29.827,158,7,toothbrush,0.723,334,252,420,406,SAFE,0
2026-07-13 23:57:30.483,163,7,toothbrush,0.391,334,253,420,407,SAFE,0
2026-07-13 23:57:31.063,168,7,toothbrush,0.668,426,237,519,388,SAFE,0
2026-07-13 23:57:31.686,173,7,toothbrush,0.754,474,203,572,349,WARNING,1
2026-07-13 23:57:32.374,178,7,toothbrush,0.788,474,204,572,350,WARNING,1
2026-07-13 23:57:32.955,183,7,toothbrush,0.820,475,203,573,349,WARNING,1
2026-07-13 23:57:33.597,188,7,toothbrush,0.832,475,204,573,350,WARNING,1
2026-07-13 23:57:34.300,193,7,toothbrush,0.821,475,204,573,350,WARNING,1
2026-07-13 23:57:34.918,198,7,toothbrush,0.788,475,204,573,350,WARNING,1
2026-07-13 23:57:35.685,203,7,toothbrush,0.816,475,203,573,349,WARNING,1
2026-07-13 23:57:36.296,208,7,toothbrush,0.809,475,203,573,349,WARNING,1
2026-07-13 23:57:36.980,213,7,toothbrush,0.808,475,204,573,350,WARNING,1
2026-07-13 23:57:37.615,218,7,toothbrush,0.800,475,203,573,349,WARNING,1
2026-07-13 23:57:38.269,223,7,toothbrush,0.808,475,204,573,350,WARNING,1
2026-07-13 23:57:38.919,228,12,person,0.809,411,99,504,229,WARNING,1
2026-07-13 23:57:39.673,233,12,person,0.705,420,69,514,195,DANGER_RIGHT,1
2026-07-13 23:57:40.599,239,7,toothbrush,0.531,567,235,674,386,DANGER_RIGHT,1
2026-07-13 23:57:41.475,244,7,person,0.609,567,235,674,386,DANGER_RIGHT,1
2026-07-13 23:57:42.165,249,7,toothbrush,0.246,567,234,674,384,DANGER_RIGHT,1
2026-07-13 23:57:42.982,255,7,toothbrush,0.560,567,234,674,384,DANGER_RIGHT,1
2026-07-13 23:57:43.702,260,7,person,0.438,567,234,674,384,DANGER_RIGHT,1
2026-07-13 23:57:44.279,265,7,person,0.481,567,234,674,384,DANGER_RIGHT,1
2026-07-13 23:57:44.891,270,7,person,0.422,567,234,674,384,DANGER_RIGHT,1
2026-07-13 23:57:45.625,275,7,toothbrush,0.769,567,234,674,384,DANGER_RIGHT,1
2026-07-13 23:57:46.336,280,7,toothbrush,0.447,567,234,674,384,DANGER_RIGHT,1
2026-07-13 23:57:47.089,285,7,toothbrush,0.868,511,382,611,555,WARNING,1
2026-07-13 23:57:47.748,290,7,toothbrush,0.813,539,495,640,684,DANGER_RIGHT,1
